values:Timestamp,close,high,low,open,volume
1434132540,127.4750,127.6100,127.4600,127.6050,361900
1434132840,127.4599,127.5000,127.4100,127.4600,292500
1434133199,127.4700,127.5302,127.4500,127.4600,216200
1434133499,127.4700,127.5100,127.4300,127.4800,249400
1434133740,127.4700,127.5000,127.4600,127.4700,111600
1434134040,127.3832,127.4700,127.3200,127.4650,408100
1434134340,127.3700,127.4200,127.3200,127.3800,377300
1434134643,127.4436,127.4900,127.3700,127.3799,214400
1434134943,127.4588,127.4700,127.4300,127.4500,97300
1434135299,127.3756,127.4668,127.3600,127.4600,168700
1434135541,127.2900,127.3900,127.2800,127.3800,433400
1434135899,127.4100,127.4200,127.2500,127.2900,308400
1434136199,127.4400,127.4600,127.3300,127.4000,323200
1434136440,127.4850,127.5300,127.4368,127.4368,344300
1434136743,127.5000,127.5100,127.4300,127.4900,234200
1434137040,127.5500,127.6400,127.4950,127.5000,359100
1434137343,127.5850,127.6060,127.5200,127.5450,245200
1434137640,127.6169,127.6699,127.5800,127.5900,404600
1434137999,127.5000,127.7000,127.4800,127.6200,599600
1434138299,127.4799,127.4900,127.4000,127.4900,406100
1434138599,127.4000,127.4700,127.3300,127.4500,627600
1434138899,127.2490,127.4000,127.1399,127.3800,1600500
1434139140,127.1940,127.2500,127.1400,127.2499,6210000
1434139200,127.1700,127.1700,127.1700,127.1700,0
1434375299,125.9699,126.1600,125.7100,126.1000,0
1434375541,126.3900,126.5400,125.8100,125.9500,1415400
1434375899,126.1599,126.4484,126.0970,126.3600,960400
1434376140,126.0400,126.3000,125.9100,126.1550,1071600
1434376440,126.1320,126.1700,125.8400,125.9900,791200
1434376799,126.2500,126.2800,126.0700,126.1200,551900
1434377099,126.4201,126.4350,126.2100,126.2300,694300
1434377340,126.3955,126.4400,126.2700,126.4300,530900
1434377640,126.5399,126.6200,126.2500,126.3999,781400
1434377999,126.3800,126.6900,126.3600,126.5300,646100
1434378299,126.3000,126.5600,126.2800,126.3900,633200
1434378599,126.3200,126.4700,126.2000,126.3000,609000
1434378840,126.2400,126.3400,126.2100,126.2900,372600
1434379140,126.3510,126.4800,126.2200,126.2200,445000
1434379499,126.3300,126.4600,126.2505,126.3600,423400
1434379740,126.2900,126.3900,126.2500,126.3300,308900
1434380099,126.1600,126.3300,126.1500,126.2999,335500
1434380340,126.2900,126.2900,126.0900,126.1700,552900
1434380640,126.4700,126.5900,126.2800,126.2800,775200
1434380940,126.5899,126.6400,126.3900,126.4698,370400
1434381240,126.7201,126.8800,126.5900,126.5900,1676600
1434381540,126.7350,126.8155,126.7000,126.7180,531600
1434381840,126.6400,126.7900,126.5601,126.7300,428800
1434382140,126.6150,126.7300,126.5700,126.6300,406900
1434382440,126.5899,126.6900,126.5300,126.6100,282500
1434382798,126.6447,126.6700,126.5600,126.5800,239800
1434383098,126.7290,126.8100,126.6400,126.6462,346700
1434383399,126.8000,126.8100,126.6780,126.7200,324100
1434383642,126.8590,126.9600,126.7801,126.8000,368600
1434383940,126.8300,126.8900,126.7572,126.8550,319500
1434384240,126.8300,126.8700,126.7700,126.8200,183000
1434384540,126.8799,126.9100,126.7750,126.8300,302500
1434384899,126.8534,126.8900,126.7800,126.8700,193800
1434385199,126.8740,126.9000,126.8100,126.8600,165700
1434385443,126.8300,127.0600,126.7680,126.8757,635400
1434385799,126.6600,126.8700,126.6200,126.8142,513800
1434386040,126.6200,126.6500,126.5600,126.6400,339100
