Dates,close,high,low,open,volume
2015-06-16-03:14:00,126.9356,126.94,126.78,126.83,264000.0
2015-06-16-03:19:59,126.83,126.935,126.81,126.93,237600.0
2015-06-16-03:24:03,126.728,126.87,126.72,126.82,350700.0
2015-06-16-03:29:00,126.73,126.77,126.65,126.73,446000.0
2015-06-16-03:34:00,126.735,126.8,126.695,126.73,344800.0
2015-06-16-03:39:00,126.7635,126.8,126.729,126.735,375000.0
2015-06-16-03:44:00,127.05,127.12,126.76,126.7668,647200.0
2015-06-16-03:49:59,127.0442,127.1,126.96,127.04,521700.0
2015-06-16-03:54:59,127.0062,127.07,126.97,127.03,551100.0
2015-06-16-03:59:01,126.93,127.05,126.93,126.99,7267800.0
2015-06-16-04:00:00,127.03,127.03,126.92,126.92,0.0
